,image,ViTDet_ms,n_persons,HRNet_2D_ms,HMR2_3D_ms
0,img1_standing.jpg,456.41112327575684,1.0,43.65086555480957,87.6302719116211
1,img2_complex_pose.jpg,205.45625686645508,1.0,30.141353607177734,79.73313331604004
2,img3_occluded.jpg,207.4301242828369,1.0,35.086870193481445,87.10145950317383
3,img4_multi_person.jpg,195.3601837158203,4.0,58.69603157043457,135.95128059387207
mean,,266.1644220352173,1.75,41.89378023147583,97.60403633117676
