image,device,smplify_runtime_s,hmr_runtime_ms,speedup_factor,mean_reproj_error_px,final_loss
img1_standing,cuda,1.503,100.0,15.0,5.9,159.7
img2_complex_pose,cuda,0.856,100.0,8.6,5.3,126.1
img3_occluded,cuda,0.853,100.0,8.5,23.4,941.3
img4_multi_person,cuda,0.855,100.0,8.5,4.4,64.5
img1_standing,cpu,0.794,100.0,7.9,5.9,159.7
img2_complex_pose,cpu,0.818,100.0,8.2,5.3,126.1
img3_occluded,cpu,0.806,100.0,8.1,24.1,1016.3
img4_multi_person,cpu,0.793,100.0,7.9,4.4,64.5
